Actual,Predicted
63841.12109375,0.38750129467421407
60636.85546875,0.3397310972446673
58254.01171875,0.12312895490312165
59123.43359375,0.025198193408404707
62889.8359375,0.1638365479467378
63891.47265625,0.3764007157641612
64031.1328125,0.42888169966792816
63161.94921875,0.4124672527288043
62334.81640625,0.3512539897156666
61187.94140625,0.2816008756499021
63049.9609375,0.27073675850970436
60792.77734375,0.3045159347593242
60793.7109375,0.19343350524402042
61448.39453125,0.21037509015776668
62901.44921875,0.27902941977898016
61552.7890625,0.3161983568929233
