Actual,Predicted
63841.12109375,0.3554477417493756
60636.85546875,0.3968871922695504
58254.01171875,0.2002729003738924
59123.43359375,0.04975461607683277
62889.8359375,0.052658995607923094
63891.47265625,0.3409534933850743
64031.1328125,0.4194540471857133
63161.94921875,0.4129187744752549
62334.81640625,0.3715877191287214
61187.94140625,0.2969741847949421
63049.9609375,0.2451484891284268
60792.77734375,0.3205449131404028
60793.7109375,0.19717648922491995
61448.39453125,0.19100914521879747
62901.44921875,0.24993011525761427
61552.7890625,0.32602419934185006
